product_name,product_description,category,brand,price,quantity
Fortune Elite Backpack 43,Elite backpack from Fortune suitable for everyday use.,Grocery,Fortune,19676,113
Adidas Elite Rice 44,Elite rice from Adidas suitable for everyday use.,Footwear,Adidas,78180,178
Levis Ultra Headphones 45,Ultra headphones from Levis suitable for everyday use.,Clothing,Levis,87718,79
Nivea Max Cream 46,Max cream from Nivea suitable for everyday use.,Beauty,Nivea,89156,115
Lakme Classic Cream 47,Classic cream from Lakme suitable for everyday use.,Beauty,Lakme,119636,60
Cello Max Bottle 48,Max bottle from Cello suitable for everyday use.,Home,Cello,23214,34
Butterfly Plus Rice 49,Plus rice from Butterfly suitable for everyday use.,Kitchen,Butterfly,29028,107
Packt Pro Backpack 50,Pro backpack from Packt suitable for everyday use.,Books,Packt,132914,191
Louis Philippe Smart Backpack 51,Smart backpack from Louis Philippe suitable for everyday use.,Clothing,Louis Philippe,108805,29
Lakme Smart Speaker 52,Smart speaker from Lakme suitable for everyday use.,Beauty,Lakme,147152,37
Packt Pro Shoes 53,Pro shoes from Packt suitable for everyday use.,Books,Packt,124102,86
HarperCollins Eco Backpack 54,Eco backpack from HarperCollins suitable for everyday use.,Books,HarperCollins,63621,10
HP Premium Mixer 55,Premium mixer from HP suitable for everyday use.,Electronics,HP,148798,16
Ikea Plus Cream 56,Plus cream from Ikea suitable for everyday use.,Home,Ikea,122498,71
Aashirvaad Elite Phone 57,Elite phone from Aashirvaad suitable for everyday use.,Grocery,Aashirvaad,102638,173
Louis Philippe Smart Watch 58,Smart watch from Louis Philippe suitable for everyday use.,Clothing,Louis Philippe,42097,98
Milton Eco Rice 59,Eco rice from Milton suitable for everyday use.,Home,Milton,94117,72
Packt Max Speaker 60,Max speaker from Packt suitable for everyday use.,Books,Packt,101087,40
Logitech Smart Ball 61,Smart ball from Logitech suitable for everyday use.,Accessories,Logitech,27183,6
Pigeon Elite Mouse 62,Elite mouse from Pigeon suitable for everyday use.,Kitchen,Pigeon,143499,92
Dell Max Bottle 63,Max bottle from Dell suitable for everyday use.,Electronics,Dell,140573,74
Samsung Pro Watch 64,Pro watch from Samsung suitable for everyday use.,Electronics,Samsung,56768,67
Home Centre Elite Laptop 65,Elite laptop from Home Centre suitable for everyday use.,Home,Home Centre,149426,12
Penguin Plus Mixer 66,Plus mixer from Penguin suitable for everyday use.,Books,Penguin,98713,110
Allen Solly Lite Shoes 67,Lite shoes from Allen Solly suitable for everyday use.,Clothing,Allen Solly,86363,182
Allen Solly Plus Bottle 68,Plus bottle from Allen Solly suitable for everyday use.,Clothing,Allen Solly,134396,56
Nivia Max Watch 69,Max watch from Nivia suitable for everyday use.,Sports,Nivia,99849,22
SG Plus Headphones 70,Plus headphones from SG suitable for everyday use.,Sports,SG,140525,114
Cello Pro Bottle 71,Pro bottle from Cello suitable for everyday use.,Home,Cello,133893,83
Yonex Ultra Cooker 72,Ultra cooker from Yonex suitable for everyday use.,Sports,Yonex,132753,22
Ikea Classic Shirt 73,Classic shirt from Ikea suitable for everyday use.,Home,Ikea,18538,41
Asus Classic Bottle 74,Classic bottle from Asus suitable for everyday use.,Electronics,Asus,96348,195
Allen Solly Eco Phone 75,Eco phone from Allen Solly suitable for everyday use.,Clothing,Allen Solly,140583,153
Maybelline Eco Mixer 76,Eco mixer from Maybelline suitable for everyday use.,Beauty,Maybelline,146780,179
Portronics Classic Headphones 77,Classic headphones from Portronics suitable for everyday use.,Accessories,Portronics,115741,2
Prestige Eco Speaker 78,Eco speaker from Prestige suitable for everyday use.,Kitchen,Prestige,3829,64
Nivea Ultra Shirt 79,Ultra shirt from Nivea suitable for everyday use.,Beauty,Nivea,30880,181
Nivia Lite Rice 80,Lite rice from Nivia suitable for everyday use.,Sports,Nivia,122945,44
Louis Philippe Smart Rice 81,Smart rice from Louis Philippe suitable for everyday use.,Clothing,Louis Philippe,124340,191
Tata Smart Headphones 82,Smart headphones from Tata suitable for everyday use.,Grocery,Tata,87513,41
HarperCollins Smart Cream 83,Smart cream from HarperCollins suitable for everyday use.,Books,HarperCollins,665,37
Home Centre Eco Shoes 84,Eco shoes from Home Centre suitable for everyday use.,Home,Home Centre,130944,95
Lakme Smart Mixer 85,Smart mixer from Lakme suitable for everyday use.,Beauty,Lakme,82161,28
Ikea Lite Shoes 86,Lite shoes from Ikea suitable for everyday use.,Home,Ikea,11771,111
Aashirvaad Classic Shirt 87,Classic shirt from Aashirvaad suitable for everyday use.,Grocery,Aashirvaad,93865,69
Nivea Plus Phone 88,Plus phone from Nivea suitable for everyday use.,Beauty,Nivea,23174,119
Milton Premium Shoes 89,Premium shoes from Milton suitable for everyday use.,Home,Milton,132160,155
Nestle Lite Cream 90,Lite cream from Nestle suitable for everyday use.,Grocery,Nestle,147701,149
Cello Pro Cream 91,Pro cream from Cello suitable for everyday use.,Home,Cello,32932,117
Borosil Premium Shoes 92,Premium shoes from Borosil suitable for everyday use.,Kitchen,Borosil,81067,177
Nike Smart Shirt 93,Smart shirt from Nike suitable for everyday use.,Footwear,Nike,35322,148
Portronics Plus Mouse 94,Plus mouse from Portronics suitable for everyday use.,Accessories,Portronics,87344,162
Nivea Premium Backpack 95,Premium backpack from Nivea suitable for everyday use.,Beauty,Nivea,46722,19
Dell Lite Laptop 96,Lite laptop from Dell suitable for everyday use.,Electronics,Dell,102887,121
Levis Pro Headphones 97,Pro headphones from Levis suitable for everyday use.,Clothing,Levis,57067,97
Portronics Pro Speaker 98,Pro speaker from Portronics suitable for everyday use.,Accessories,Portronics,103436,67
Packt Elite Mouse 99,Elite mouse from Packt suitable for everyday use.,Books,Packt,20576,17
Allen Solly Eco Cooker 100,Eco cooker from Allen Solly suitable for everyday use.,Clothing,Allen Solly,7864,174
Skechers Smart Monitor 101,Smart monitor from Skechers suitable for everyday use.,Footwear,Skechers,87438,112
Yonex Max Shoes 102,Max shoes from Yonex suitable for everyday use.,Sports,Yonex,37953,76
HP Classic Backpack 103,Classic backpack from HP suitable for everyday use.,Electronics,HP,58504,117
SG Smart Ball 104,Smart ball from SG suitable for everyday use.,Sports,SG,91409,103
Allen Solly Pro Laptop 105,Pro laptop from Allen Solly suitable for everyday use.,Clothing,Allen Solly,100092,81
Nestle Ultra Cooker 106,Ultra cooker from Nestle suitable for everyday use.,Grocery,Nestle,15721,51
Sony Pro Phone 107,Pro phone from Sony suitable for everyday use.,Accessories,Sony,41929,2
SG Pro Book 108,Pro book from SG suitable for everyday use.,Sports,SG,66844,125
Puma Lite Rice 109,Lite rice from Puma suitable for everyday use.,Footwear,Puma,18128,137
US Polo Max Headphones 110,Max headphones from US Polo suitable for everyday use.,Clothing,US Polo,2645,156
Tata Plus Monitor 111,Plus monitor from Tata suitable for everyday use.,Grocery,Tata,43434,98
SG Classic Backpack 112,Classic backpack from SG suitable for everyday use.,Sports,SG,721,8
Boat Pro Bottle 113,Pro bottle from Boat suitable for everyday use.,Accessories,Boat,44720,13
Pigeon Ultra Keyboard 114,Ultra keyboard from Pigeon suitable for everyday use.,Kitchen,Pigeon,148010,45
Sony Classic Cooker 115,Classic cooker from Sony suitable for everyday use.,Accessories,Sony,39037,67
Butterfly Plus Keyboard 116,Plus keyboard from Butterfly suitable for everyday use.,Kitchen,Butterfly,43548,116
Cello Max Mixer 117,Max mixer from Cello suitable for everyday use.,Home,Cello,69691,20
Zebronics Ultra Mouse 118,Ultra mouse from Zebronics suitable for everyday use.,Accessories,Zebronics,1150,36
HP Classic Cream 119,Classic cream from HP suitable for everyday use.,Electronics,HP,34646,173
Peter England Premium Book 120,Premium book from Peter England suitable for everyday use.,Clothing,Peter England,31408,90
Maybelline Pro Watch 121,Pro watch from Maybelline suitable for everyday use.,Beauty,Maybelline,104067,156
Acer Smart Rice 122,Smart rice from Acer suitable for everyday use.,Electronics,Acer,35937,72
Lenovo Elite Watch 123,Elite watch from Lenovo suitable for everyday use.,Electronics,Lenovo,138042,176
Cosco Eco Book 124,Eco book from Cosco suitable for everyday use.,Sports,Cosco,124583,42
Dell Lite Shoes 125,Lite shoes from Dell suitable for everyday use.,Electronics,Dell,26738,51
Tata Max Book 126,Max book from Tata suitable for everyday use.,Grocery,Tata,139951,131
Penguin Classic Laptop 127,Classic laptop from Penguin suitable for everyday use.,Books,Penguin,94287,49
Borosil Elite Mouse 128,Elite mouse from Borosil suitable for everyday use.,Kitchen,Borosil,142866,85
Tata Max Speaker 129,Max speaker from Tata suitable for everyday use.,Grocery,Tata,133836,5
Skechers Eco Keyboard 130,Eco keyboard from Skechers suitable for everyday use.,Footwear,Skechers,63338,41
OReilly Elite Shoes 131,Elite shoes from OReilly suitable for everyday use.,Books,OReilly,85538,25
Peter England Ultra Cream 132,Ultra cream from Peter England suitable for everyday use.,Clothing,Peter England,1022,144
Cosco Classic Mouse 133,Classic mouse from Cosco suitable for everyday use.,Sports,Cosco,59761,193
Boat Plus Mouse 134,Plus mouse from Boat suitable for everyday use.,Accessories,Boat,97968,66
Nivia Lite Book 135,Lite book from Nivia suitable for everyday use.,Sports,Nivia,107706,196
Yonex Premium Shoes 136,Premium shoes from Yonex suitable for everyday use.,Sports,Yonex,73159,72
Ikea Smart Book 137,Smart book from Ikea suitable for everyday use.,Home,Ikea,110109,49
Adidas Elite Watch 138,Elite watch from Adidas suitable for everyday use.,Footwear,Adidas,55424,19
Zebronics Premium TV 139,Premium tv from Zebronics suitable for everyday use.,Accessories,Zebronics,143216,125
Skechers Max Cream 140,Max cream from Skechers suitable for everyday use.,Footwear,Skechers,11638,73
Milton Premium Backpack 141,Premium backpack from Milton suitable for everyday use.,Home,Milton,78163,142
Peter England Max Backpack 142,Max backpack from Peter England suitable for everyday use.,Clothing,Peter England,97601,102
Aashirvaad Premium Phone 143,Premium phone from Aashirvaad suitable for everyday use.,Grocery,Aashirvaad,82858,59
Yonex Max Phone 144,Max phone from Yonex suitable for everyday use.,Sports,Yonex,117446,38
Nivea Plus Backpack 145,Plus backpack from Nivea suitable for everyday use.,Beauty,Nivea,38295,121
Sony Eco Mouse 146,Eco mouse from Sony suitable for everyday use.,Accessories,Sony,9153,24
Reebok Pro Shirt 147,Pro shirt from Reebok suitable for everyday use.,Footwear,Reebok,148313,109
Logitech Eco TV 148,Eco tv from Logitech suitable for everyday use.,Accessories,Logitech,27374,60
Sony Eco Phone 149,Eco phone from Sony suitable for everyday use.,Accessories,Sony,6678,20
SG Plus Keyboard 150,Plus keyboard from SG suitable for everyday use.,Sports,SG,83075,136
Cello Plus Keyboard 151,Plus keyboard from Cello suitable for everyday use.,Home,Cello,140339,61
Fortune Pro Bottle 152,Pro bottle from Fortune suitable for everyday use.,Grocery,Fortune,16809,90
Adidas Classic Ball 153,Classic ball from Adidas suitable for everyday use.,Footwear,Adidas,145786,100
Nivia Eco Backpack 154,Eco backpack from Nivia suitable for everyday use.,Sports,Nivia,57895,71
Peter England Ultra Mixer 155,Ultra mixer from Peter England suitable for everyday use.,Clothing,Peter England,1670,4
Home Centre Smart Cream 156,Smart cream from Home Centre suitable for everyday use.,Home,Home Centre,108283,24
Asus Lite Cooker 157,Lite cooker from Asus suitable for everyday use.,Electronics,Asus,110960,99
Nike Eco Backpack 158,Eco backpack from Nike suitable for everyday use.,Footwear,Nike,1965,166
Louis Philippe Pro TV 159,Pro tv from Louis Philippe suitable for everyday use.,Clothing,Louis Philippe,27499,40
Maybelline Smart Cooker 160,Smart cooker from Maybelline suitable for everyday use.,Beauty,Maybelline,31990,110
Cosco Premium Laptop 161,Premium laptop from Cosco suitable for everyday use.,Sports,Cosco,44367,177
Cosco Classic Watch 162,Classic watch from Cosco suitable for everyday use.,Sports,Cosco,24205,13
Home Centre Ultra Cooker 163,Ultra cooker from Home Centre suitable for everyday use.,Home,Home Centre,16481,103
Penguin Plus Cooker 164,Plus cooker from Penguin suitable for everyday use.,Books,Penguin,98630,120
Nivea Eco Mixer 165,Eco mixer from Nivea suitable for everyday use.,Beauty,Nivea,140012,25
Penguin Lite Cream 166,Lite cream from Penguin suitable for everyday use.,Books,Penguin,136995,164
Allen Solly Premium Shirt 167,Premium shirt from Allen Solly suitable for everyday use.,Clothing,Allen Solly,120536,72
Nivia Eco Mouse 168,Eco mouse from Nivia suitable for everyday use.,Sports,Nivia,42349,80
Aashirvaad Max Cooker 169,Max cooker from Aashirvaad suitable for everyday use.,Grocery,Aashirvaad,13515,83
Nivea Smart Watch 170,Smart watch from Nivea suitable for everyday use.,Beauty,Nivea,36484,93
Ikea Premium Mixer 171,Premium mixer from Ikea suitable for everyday use.,Home,Ikea,139961,108
Tata Max Monitor 172,Max monitor from Tata suitable for everyday use.,Grocery,Tata,45650,5
Peter England Smart Phone 173,Smart phone from Peter England suitable for everyday use.,Clothing,Peter England,56473,69
Cello Pro Monitor 174,Pro monitor from Cello suitable for everyday use.,Home,Cello,122791,172
Aashirvaad Max Cooker 175,Max cooker from Aashirvaad suitable for everyday use.,Grocery,Aashirvaad,122493,139
Yonex Max Mouse 176,Max mouse from Yonex suitable for everyday use.,Sports,Yonex,82214,177
Nivea Eco Shoes 177,Eco shoes from Nivea suitable for everyday use.,Beauty,Nivea,88155,167
Allen Solly Classic Rice 178,Classic rice from Allen Solly suitable for everyday use.,Clothing,Allen Solly,3458,27
Prestige Plus Jeans 179,Plus jeans from Prestige suitable for everyday use.,Kitchen,Prestige,72660,57
Prestige Max TV 180,Max tv from Prestige suitable for everyday use.,Kitchen,Prestige,116330,135
HarperCollins Eco Headphones 181,Eco headphones from HarperCollins suitable for everyday use.,Books,HarperCollins,138619,198
Samsung Plus Backpack 182,Plus backpack from Samsung suitable for everyday use.,Electronics,Samsung,49910,24
Portronics Elite Phone 183,Elite phone from Portronics suitable for everyday use.,Accessories,Portronics,126407,87
Lakme Max Shoes 184,Max shoes from Lakme suitable for everyday use.,Beauty,Lakme,87630,79
Adidas Classic Bottle 185,Classic bottle from Adidas suitable for everyday use.,Footwear,Adidas,101385,58
US Polo Ultra Jeans 186,Ultra jeans from US Polo suitable for everyday use.,Clothing,US Polo,3811,59
Packt Max Bottle 187,Max bottle from Packt suitable for everyday use.,Books,Packt,88877,168
Sony Lite Bottle 188,Lite bottle from Sony suitable for everyday use.,Accessories,Sony,1590,110
Penguin Pro TV 189,Pro tv from Penguin suitable for everyday use.,Books,Penguin,114400,114
HarperCollins Smart Ball 190,Smart ball from HarperCollins suitable for everyday use.,Books,HarperCollins,144866,74
Aashirvaad Pro Bottle 191,Pro bottle from Aashirvaad suitable for everyday use.,Grocery,Aashirvaad,90448,163
Lenovo Eco Shoes 192,Eco shoes from Lenovo suitable for everyday use.,Electronics,Lenovo,19967,103
Nivea Classic Shoes 193,Classic shoes from Nivea suitable for everyday use.,Beauty,Nivea,48486,147
OReilly Elite Rice 194,Elite rice from OReilly suitable for everyday use.,Books,OReilly,81233,192
US Polo Premium Cream 195,Premium cream from US Polo suitable for everyday use.,Clothing,US Polo,7557,144
Prestige Pro Shoes 196,Pro shoes from Prestige suitable for everyday use.,Kitchen,Prestige,143535,106
OReilly Ultra Rice 197,Ultra rice from OReilly suitable for everyday use.,Books,OReilly,17862,120
Fortune Ultra Ball 198,Ultra ball from Fortune suitable for everyday use.,Grocery,Fortune,4813,114
Tata Plus Phone 199,Plus phone from Tata suitable for everyday use.,Grocery,Tata,64199,177
Home Centre Ultra Keyboard 200,Ultra keyboard from Home Centre suitable for everyday use.,Home,Home Centre,96673,48
Milton Elite Speaker 201,Elite speaker from Milton suitable for everyday use.,Home,Milton,65781,101
Prestige Premium Headphones 202,Premium headphones from Prestige suitable for everyday use.,Kitchen,Prestige,10376,128
Home Centre Classic Shirt 203,Classic shirt from Home Centre suitable for everyday use.,Home,Home Centre,130490,124
Cello Elite Bottle 204,Elite bottle from Cello suitable for everyday use.,Home,Cello,26497,8
Yonex Classic Jeans 205,Classic jeans from Yonex suitable for everyday use.,Sports,Yonex,115364,8
Cello Smart Book 206,Smart book from Cello suitable for everyday use.,Home,Cello,33575,105
Milton Smart Backpack 207,Smart backpack from Milton suitable for everyday use.,Kitchen,Milton,79861,89
Portronics Smart Mouse 208,Smart mouse from Portronics suitable for everyday use.,Accessories,Portronics,93465,91
Adidas Classic Mixer 209,Classic mixer from Adidas suitable for everyday use.,Footwear,Adidas,53064,192
Allen Solly Pro Mixer 210,Pro mixer from Allen Solly suitable for everyday use.,Clothing,Allen Solly,80256,33
Nivia Plus Cream 211,Plus cream from Nivia suitable for everyday use.,Sports,Nivia,111614,130
Puma Premium Mixer 212,Premium mixer from Puma suitable for everyday use.,Footwear,Puma,121882,159
Cosco Classic Ball 213,Classic ball from Cosco suitable for everyday use.,Sports,Cosco,40335,10
Sony Classic Watch 214,Classic watch from Sony suitable for everyday use.,Electronics,Sony,145150,40
Home Centre Ultra Bottle 215,Ultra bottle from Home Centre suitable for everyday use.,Home,Home Centre,136424,92
Home Centre Plus Headphones 216,Plus headphones from Home Centre suitable for everyday use.,Home,Home Centre,43940,74
Penguin Eco Ball 217,Eco ball from Penguin suitable for everyday use.,Books,Penguin,94465,181
US Polo Smart Phone 218,Smart phone from US Polo suitable for everyday use.,Clothing,US Polo,134369,71
Borosil Plus Shoes 219,Plus shoes from Borosil suitable for everyday use.,Kitchen,Borosil,38232,109
SG Max Mouse 220,Max mouse from SG suitable for everyday use.,Sports,SG,13543,108
Apple Premium Laptop 221,Premium laptop from Apple suitable for everyday use.,Electronics,Apple,35338,51
HarperCollins Ultra Cooker 222,Ultra cooker from HarperCollins suitable for everyday use.,Books,HarperCollins,10311,191
Nestle Ultra Phone 223,Ultra phone from Nestle suitable for everyday use.,Grocery,Nestle,54856,153
HarperCollins Classic Keyboard 224,Classic keyboard from HarperCollins suitable for everyday use.,Books,HarperCollins,126827,199
OReilly Classic Mixer 225,Classic mixer from OReilly suitable for everyday use.,Books,OReilly,78159,52
US Polo Pro Monitor 226,Pro monitor from US Polo suitable for everyday use.,Clothing,US Polo,32109,2
Nestle Pro Shirt 227,Pro shirt from Nestle suitable for everyday use.,Grocery,Nestle,69299,56
Milton Classic Keyboard 228,Classic keyboard from Milton suitable for everyday use.,Home,Milton,102167,111
Adidas Lite Cooker 229,Lite cooker from Adidas suitable for everyday use.,Footwear,Adidas,1717,46
US Polo Elite Jeans 230,Elite jeans from US Polo suitable for everyday use.,Clothing,US Polo,21724,101
HP Lite Speaker 231,Lite speaker from HP suitable for everyday use.,Electronics,HP,112902,186
Ikea Elite Ball 232,Elite ball from Ikea suitable for everyday use.,Home,Ikea,38396,155
Milton Smart Keyboard 233,Smart keyboard from Milton suitable for everyday use.,Kitchen,Milton,59298,111
Pigeon Eco Laptop 234,Eco laptop from Pigeon suitable for everyday use.,Kitchen,Pigeon,66118,90
HarperCollins Classic Rice 235,Classic rice from HarperCollins suitable for everyday use.,Books,HarperCollins,118468,33
Nike Pro Speaker 236,Pro speaker from Nike suitable for everyday use.,Footwear,Nike,82891,113
Levis Premium Jeans 237,Premium jeans from Levis suitable for everyday use.,Clothing,Levis,133933,157
Packt Plus Jeans 238,Plus jeans from Packt suitable for everyday use.,Books,Packt,35506,123
OReilly Lite Shirt 239,Lite shirt from OReilly suitable for everyday use.,Books,OReilly,125548,84
Peter England Pro Mixer 240,Pro mixer from Peter England suitable for everyday use.,Clothing,Peter England,75038,80
Milton Eco Laptop 241,Eco laptop from Milton suitable for everyday use.,Kitchen,Milton,32601,186
Milton Classic Jeans 242,Classic jeans from Milton suitable for everyday use.,Home,Milton,143854,51
Nivia Elite Shoes 243,Elite shoes from Nivia suitable for everyday use.,Sports,Nivia,100319,34
Butterfly Ultra TV 244,Ultra tv from Butterfly suitable for everyday use.,Kitchen,Butterfly,57698,100
Cosco Smart Monitor 245,Smart monitor from Cosco suitable for everyday use.,Sports,Cosco,129444,124
Milton Plus Monitor 246,Plus monitor from Milton suitable for everyday use.,Home,Milton,130763,77
Borosil Pro Monitor 247,Pro monitor from Borosil suitable for everyday use.,Kitchen,Borosil,103468,54
Lakme Smart Cooker 248,Smart cooker from Lakme suitable for everyday use.,Beauty,Lakme,68257,27
Loreal Pro Cooker 249,Pro cooker from Loreal suitable for everyday use.,Beauty,Loreal,128990,194
Borosil Lite Shoes 250,Lite shoes from Borosil suitable for everyday use.,Kitchen,Borosil,117800,184
Packt Plus Keyboard 251,Plus keyboard from Packt suitable for everyday use.,Books,Packt,13608,112
Aashirvaad Eco Headphones 252,Eco headphones from Aashirvaad suitable for everyday use.,Grocery,Aashirvaad,12020,120
Sony Eco Mixer 253,Eco mixer from Sony suitable for everyday use.,Electronics,Sony,36781,155
Home Centre Elite Book 254,Elite book from Home Centre suitable for everyday use.,Home,Home Centre,112752,102
Milton Pro Keyboard 255,Pro keyboard from Milton suitable for everyday use.,Kitchen,Milton,47276,13
Home Centre Elite Watch 256,Elite watch from Home Centre suitable for everyday use.,Home,Home Centre,129905,125
Louis Philippe Classic Shirt 257,Classic shirt from Louis Philippe suitable for everyday use.,Clothing,Louis Philippe,138017,69
Milton Elite Mouse 258,Elite mouse from Milton suitable for everyday use.,Home,Milton,92788,175
Boat Pro Shirt 259,Pro shirt from Boat suitable for everyday use.,Accessories,Boat,63220,28
Skechers Elite Backpack 260,Elite backpack from Skechers suitable for everyday use.,Footwear,Skechers,21437,39
Nivea Lite TV 261,Lite tv from Nivea suitable for everyday use.,Beauty,Nivea,120164,128
Nivia Max Speaker 262,Max speaker from Nivia suitable for everyday use.,Sports,Nivia,7813,148
Nivea Premium TV 263,Premium tv from Nivea suitable for everyday use.,Beauty,Nivea,125063,158
Maybelline Premium Jeans 264,Premium jeans from Maybelline suitable for everyday use.,Beauty,Maybelline,105940,87
Allen Solly Premium Cream 265,Premium cream from Allen Solly suitable for everyday use.,Clothing,Allen Solly,4035,147
Lakme Elite Book 266,Elite book from Lakme suitable for everyday use.,Beauty,Lakme,35291,186
Home Centre Premium Headphones 267,Premium headphones from Home Centre suitable for everyday use.,Home,Home Centre,98042,31
Boat Ultra Cream 268,Ultra cream from Boat suitable for everyday use.,Accessories,Boat,29669,29
Louis Philippe Premium Shoes 269,Premium shoes from Louis Philippe suitable for everyday use.,Clothing,Louis Philippe,109021,20
Apple Pro Headphones 270,Pro headphones from Apple suitable for everyday use.,Electronics,Apple,45536,173
Cello Max Shoes 271,Max shoes from Cello suitable for everyday use.,Home,Cello,8108,156
Skechers Premium Shirt 272,Premium shirt from Skechers suitable for everyday use.,Footwear,Skechers,111278,150
Logitech Classic TV 273,Classic tv from Logitech suitable for everyday use.,Accessories,Logitech,113548,114
Skechers Pro Headphones 274,Pro headphones from Skechers suitable for everyday use.,Footwear,Skechers,51061,83
Sony Plus Mouse 275,Plus mouse from Sony suitable for everyday use.,Electronics,Sony,77092,58
Penguin Plus Rice 276,Plus rice from Penguin suitable for everyday use.,Books,Penguin,55529,102
HP Pro Shirt 277,Pro shirt from HP suitable for everyday use.,Electronics,HP,14424,150
Logitech Eco Headphones 278,Eco headphones from Logitech suitable for everyday use.,Accessories,Logitech,28026,164
Nivia Elite Cooker 279,Elite cooker from Nivia suitable for everyday use.,Sports,Nivia,65877,190
Borosil Classic Cream 280,Classic cream from Borosil suitable for everyday use.,Kitchen,Borosil,91647,107
Portronics Elite Shoes 281,Elite shoes from Portronics suitable for everyday use.,Accessories,Portronics,69586,85
Fortune Lite Bottle 282,Lite bottle from Fortune suitable for everyday use.,Grocery,Fortune,26097,6
Pigeon Premium Keyboard 283,Premium keyboard from Pigeon suitable for everyday use.,Kitchen,Pigeon,124526,177
Cello Plus Phone 284,Plus phone from Cello suitable for everyday use.,Home,Cello,9385,152
Nestle Pro TV 285,Pro tv from Nestle suitable for everyday use.,Grocery,Nestle,66711,53
